	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_35714_6.txt	35714	6	4900.33653846	4315.75365344	4740.1025641	5319.25862069	5321.78857143	4380.09427609	4528.00659341	5232.7518797	613.35	5986.09090909	4004.92307692	5233.61290323
alpha_rarefaction_35714_7.txt	35714	7	5219.63345196	4456.5870021	4909.33884298	5147.99585062	5768.59933775	4405.90169492	4750.08430913	4964.04651163	569.276315789	6332.21598272	4434.4516129	5114.76490066
alpha_rarefaction_35714_8.txt	35714	8	5025.64646465	4263.18383838	4704.08823529	5223.32903226	5213.7797619	4154.83486239	4471.82802548	4981.72131148	599.714285714	6059.81127983	4425.72493573	4852.20376176
alpha_rarefaction_35714_9.txt	35714	9	4895.04620462	4409.56964657	4867.23952096	5300.96226415	5693.17123288	4507.03389831	4776.64772727	5032.39037433	585.015873016	6240.84449244	4187.59669811	4624.52095808
alpha_rarefaction_40177_0.txt	40177	0	5160.4537037	4495.96226415	4902.60649819	5301.01129944	5512.87365591	4226.1372549	4681.87573964	5240.00883392	632.408450704	6605.37894737	4172.3909465	5044.65439093
alpha_rarefaction_40177_1.txt	40177	1	5294.09856916	4502.59160305	4891.12681159	5375.57843137	5288.71649485	4558.62931034	4718.80664062	5055.78282828	598.256097561	6667.14344262	4329.71982759	4906.40217391
alpha_rarefaction_40177_2.txt	40177	2	5248.54388715	4412.84444444	4920.40526316	5583.84072581	5651.40983607	4135.52506596	4622.99401198	5118.34883721	597.411764706	6319.68055556	4097.61490683	4693.63613232
alpha_rarefaction_40177_3.txt	40177	3	5291.57977883	4354.50639854	4934.54054054	5510.13241107	5649.68306011	4391.68119891	4741.86144578	5182.92166667	649.363636364	6212.85742188	4124.93432203	5190.25925926
alpha_rarefaction_40177_4.txt	40177	4	5127.61255743	4468.42105263	4898.57039711	5422.64092664	5447.24594595	4180.71313673	4622.00194932	5167.30420168	595.131578947	6061.64533821	4327.22012579	4793.08196721
alpha_rarefaction_40177_5.txt	40177	5	5189.42238806	4479.67241379	4710.25	5375.4566474	5561.09090909	4264.77777778	4916.89915966	5096.68918919	677.338235294	6550.63366337	4402.77136752	4819.4
alpha_rarefaction_40177_6.txt	40177	6	5142.38599106	4291.09540636	4989.61524164	5311.5	5468.03937008	4785.01801802	4775.84262948	4961.26644737	580.247058824	6865.28451883	4494.23385301	5056.01729107
alpha_rarefaction_40177_7.txt	40177	7	5139.20151515	4398.0620438	4641.42857143	5288.01121495	5776.36363636	4661.63253012	4716.406	5062.47135843	586.269230769	6482.91428571	4096.46341463	5076.84340659
alpha_rarefaction_40177_8.txt	40177	8	5236.68541033	4319.58302583	4839.61456483	5231.03314917	5379.05706522	4786.13554217	4773.39014374	5287.18499127	606.0	6355.77669903	4274.89914163	4969.70391061
alpha_rarefaction_40177_9.txt	40177	9	5129.93972179	4488.85365854	4656.51010101	5308.4	5631.69863014	4611.20245399	4609.97633136	4966.77467105	646.75	6223.37009346	4259.69536424	4885.625
