#OTU ID	CK	JXBR16	RW37	R37J16	taxonomy
SH496020.07FU_KU535845_reps_singleton	1	2	0	47	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
SH018042.07FU_AF504836_reps_singleton	1	0	3	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__; s__
SH020438.07FU_JX489782_reps_singleton	116	18	46	236	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetidae_ord_Incertae_sedis; f__Annulatascaceae; g__Conlarium; s__
SH005605.07FU_GU112754_reps_singleton	3	2	0	4	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Clonostachys; s__Clonostachys_rosea
SH023409.07FU_HE579335_reps_singleton	0	13	21	2	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__; g__; s__
SH005486.07FU_AY373930_refs	20	13	11	55	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_sclerotiorum
SH012755.07FU_GU938478_reps	0	0	0	8	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__Gamsylella; s__Gamsylella_gephyropaga
SH004908.07FU_AF444338_refs	1	1	0	0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellales_fam_Incertae_sedis; g__Cryptococcus; s__Cryptococcus_flavus
SH010240.07FU_HQ630279_refs	87	479	675	775	k__Fungi; p__Zygomycota; c__Mortierellomycotina_cls_Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_angusta
SH493439.07FU_KP769836_reps	32	15	7	39	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Magnaporthaceae; g__Pseudophialophora; s__Pseudophialophora_magnispora
SH021821.07FU_KF429639_reps	0	3	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__; s__
SH010301.07FU_AF444319_refs	18	309	21	175	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellales_fam_Incertae_sedis; g__Cryptococcus; s__Cryptococcus_terreus
SH458491.07FU_HQ608088_reps_singleton	0	0	0	1	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__; g__; s__
SH018733.07FU_GQ921728_reps	0	2	0	32	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__; s__
SH005488.07FU_AF037431_refs	2	5	8	4	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_pimiteouiense
SH029949.07FU_HQ023051_reps_singleton	0	0	1	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_harzianum
SH014091.07FU_AY695067_reps_singleton	3	0	0	3	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__Dactylella; s__Dactylella_lysipaga
SH015706.07FU_GQ999325_reps	0	0	0	2	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__; g__; s__
SH020513.07FU_KC506214_reps_singleton	10	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__; s__
SH024599.07FU_AB617740_reps_singleton	3	0	0	0	k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Calcarisporiella; s__
SH487602.07FU_KU158876_reps_singleton	1	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinopsis; s__Coprinopsis_cinerea
SH026642.07FU_GU997952_reps	8	13	13	6	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__; s__
SH497392.07FU_KT932083_reps_singleton	117	27	12	68	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__Dactylella; s__Dactylella_clavata
SH005539.07FU_JX841244_reps_singleton	3	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_ornatum
SH028164.07FU_GU721438_reps	16	7	5	26	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Davidiellaceae; g__Cladosporium; s__
SH492349.07FU_JX388471_reps	6	3	74	17	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__; s__
SH481584.07FU_LN482401_reps_singleton	1	0	3	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_cibarius
SH016479.07FU_GQ996100_reps_singleton	10	8	3	48	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Lophiostomataceae; g__Lophiostoma; s__
SH013935.07FU_AB728536_reps	300	271	290	258	k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Staphylotrichum; s__Staphylotrichum_coccosporum
SH016217.07FU_AB847012_reps_singleton	0	0	0	2	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__; f__; g__; s__
SH020147.07FU_FM865604_refs	3	0	0	0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Rhizophagus; s__Rhizophagus_intraradices
SH007619.07FU_AY706335_refs	0	0	6	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Eurotiales_fam_Incertae_sedis; g__Thermomyces; s__Thermomyces_lanuginosus
SH012789.07FU_AJ877187_reps	0	0	0	2	k__Fungi; p__; c__; o__; f__; g__; s__
SH021009.07FU_HQ007249_reps	0	0	5	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; f__Botryosphaeriaceae; g__Lasiodiplodia; s__Lasiodiplodia_theobromae
