# Constructed from biom file
#OTU ID	CK	JXBR16	R37J16	RW37
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Phoma	5.79687741537e-05	0.000248543534886	0.00013558943519	7.57062185776e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pyrenochaeta	6.44097490596e-06	0.0	6.77947175951e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Shiraia	0.0	0.0	1.99396228221e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__	4.50868243417e-05	0.0	3.19033965154e-05	5.50590680564e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.0	0.0	2.79154719509e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Westerdykella	0.0	2.98252241863e-05	0.0	1.03235752606e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tetraplosphaeriaceae;g__Quadricrura	1.28819498119e-05	4.97087069771e-06	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae;g__	0.000167465347555	0.00105879545861	0.000402780381006	0.000691679542459
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae;g__Acanthostigma	0.0	0.0	7.97584912884e-06	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae;g__Helicoma	0.000380017519452	2.48543534886e-05	0.0	8.25886020847e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae;g__Helicosporium	1.93229247179e-05	0.000178951345118	0.000203384152785	6.88238350706e-06
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__;g__	0.000450868243417	0.000874873242797	0.00100096906567	9.63533690988e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__	1.93229247179e-05	0.0	3.98792456442e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Veronaeopsis	0.000109496573401	0.000198834827908	0.000127613586061	0.000247765806254
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__;f__;g__	0.000991910135518	0.000472232716283	0.000933174348074	0.000309707257818
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Arachnomycetales;f__Arachnomycetaceae;g__Arachnomyces	0.0	0.0	0.0	6.88238350706e-06
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__;g__	0.00954552481064	0.00422026922236	0.0113017782156	0.0037027223268
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriaceae;g__Cyphellophora	0.000521718967383	8.45048018611e-05	7.5770566724e-05	3.44119175353e-05
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis;g__Bradymyces	3.22048745298e-05	9.94174139542e-06	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis;g__Coniosporium	0.00282758798372	0.000551766647446	0.00203782945242	0.000313148449571
