	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_44640_0.txt	44640	0	3420.0	2775.0	2971.0	3066.0	2617.0	2170.0	2809.0	3239.0	459.0	3272.0	2638.0	2481.0
alpha_rarefaction_44640_1.txt	44640	1	3416.0	2775.0	2967.0	3053.0	2595.0	2176.0	2801.0	3238.0	480.0	3312.0	2661.0	2457.0
alpha_rarefaction_44640_2.txt	44640	2	3429.0	2775.0	2976.0	3063.0	2576.0	2187.0	2781.0	3233.0	470.0	3261.0	2640.0	2481.0
alpha_rarefaction_44640_3.txt	44640	3	3409.0	2775.0	2971.0	3051.0	2614.0	2196.0	2817.0	3239.0	446.0	3282.0	2626.0	2447.0
alpha_rarefaction_44640_4.txt	44640	4	3439.0	2775.0	2990.0	3061.0	2610.0	2185.0	2789.0	3236.0	479.0	3312.0	2660.0	2479.0
alpha_rarefaction_44640_5.txt	44640	5	3417.0	2775.0	2956.0	3072.0	2632.0	2210.0	2810.0	3225.0	462.0	3303.0	2609.0	2442.0
alpha_rarefaction_44640_6.txt	44640	6	3397.0	2775.0	2994.0	3070.0	2598.0	2182.0	2799.0	3229.0	467.0	3276.0	2646.0	2456.0
alpha_rarefaction_44640_7.txt	44640	7	3387.0	2775.0	2977.0	3065.0	2576.0	2205.0	2808.0	3250.0	470.0	3289.0	2611.0	2461.0
alpha_rarefaction_44640_8.txt	44640	8	3420.0	2775.0	2998.0	3080.0	2570.0	2166.0	2792.0	3236.0	454.0	3314.0	2610.0	2459.0
alpha_rarefaction_44640_9.txt	44640	9	3421.0	2775.0	2996.0	3059.0	2585.0	2198.0	2791.0	3238.0	468.0	3278.0	2583.0	2461.0
